,Date,Low,High,Close,Open
1647,2020-10-09,1489.45,1516.52,1515.22,1494.7
1646,2020-10-08,1465.09,1490.0,1485.93,1465.09
1645,2020-10-07,1436.0,1468.96,1460.29,1464.29
1644,2020-10-06,1448.5901,1486.76,1453.44,1475.58
1643,2020-10-05,1464.27,1488.21,1486.02,1466.21
1642,2020-10-02,1450.92,1483.2,1458.42,1462.03
1641,2020-10-01,1479.21,1499.04,1490.09,1484.27
1640,2020-09-30,1459.88,1489.75,1469.6,1466.8
1639,2020-09-29,1458.805,1476.6632,1469.33,1470.39
1638,2020-09-28,1449.3012,1476.8,1464.52,1474.21
1637,2020-09-25,1413.34,1450.0,1444.96,1432.63
1636,2020-09-24,1409.85,1443.7088,1428.29,1411.03
1635,2020-09-23,1407.7,1460.96,1415.21,1458.78
1634,2020-09-22,1434.53,1469.52,1465.46,1450.09
1633,2020-09-21,1406.55,1448.36,1431.16,1440.06
1632,2020-09-18,1437.13,1503.0032,1459.99,1498.01
1631,2020-09-17,1470.0001,1508.2984,1495.53,1496.0
1630,2020-09-16,1519.82,1562.0,1520.9,1555.54
1629,2020-09-15,1531.835,1559.57,1541.44,1536.0
1628,2020-09-14,1515.74,1563.9999,1519.28,1539.005
1627,2020-09-11,1497.36,1575.2,1520.72,1536.0
1626,2020-09-10,1525.805,1584.081,1532.02,1560.64
1625,2020-09-09,1536.0511,1569.0,1556.96,1557.53
1624,2020-09-08,1528.01,1563.865,1532.39,1533.51
1623,2020-09-04,1547.6125,1645.11,1591.04,1624.26
1622,2020-09-03,1615.06,1709.7143,1641.84,1709.7143
1621,2020-09-02,1666.3301,1733.1799,1728.28,1673.7754
1620,2020-09-01,1632.22,1665.73,1660.71,1636.63
1619,2020-08-31,1630.31,1647.965,1634.18,1647.89
1618,2020-08-28,1630.75,1647.1699,1644.41,1633.49
1617,2020-08-27,1625.75,1655.0,1634.33,1653.68
1616,2020-08-26,1603.6,1659.22,1652.38,1608.0
1615,2020-08-25,1582.07,1611.62,1608.22,1582.07
1614,2020-08-24,1580.57,1614.17,1588.2,1593.98
1613,2020-08-21,1568.005,1597.72,1580.42,1577.03
1612,2020-08-20,1538.2,1585.87,1581.75,1543.45
1611,2020-08-19,1543.95,1573.68,1547.53,1553.31
1610,2020-08-18,1523.71,1562.47,1558.6,1526.18
1609,2020-08-17,1507.97,1525.61,1517.98,1514.67
1608,2020-08-14,1502.88,1521.9,1507.73,1515.66
1607,2020-08-13,1508.005,1537.25,1518.45,1510.34
1606,2020-08-12,1485.25,1512.3859,1506.62,1485.58
1605,2020-08-11,1478.0,1510.0,1480.32,1492.44
1604,2020-08-10,1473.08,1504.075,1496.1,1487.18
1603,2020-08-07,1481.64,1516.845,1494.49,1500.0
1602,2020-08-06,1466.0,1502.39,1500.1,1471.75
1601,2020-08-05,1463.46,1482.41,1473.61,1469.3
1600,2020-08-04,1458.65,1485.56,1464.97,1476.57
1599,2020-08-03,1465.64,1490.47,1474.45,1486.64
1598,2020-07-31,1454.03,1508.95,1482.96,1505.01
1597,2020-07-30,1492.22,1537.87,1531.45,1497.0
1596,2020-07-29,1501.33,1531.2522,1522.02,1506.32
1595,2020-07-28,1497.66,1526.48,1500.34,1525.18
1594,2020-07-27,1515.21,1540.97,1530.2,1515.6
1593,2020-07-24,1488.4,1517.6362,1511.87,1498.93
1592,2020-07-23,1507.3918,1571.87,1515.68,1566.97
1591,2020-07-22,1546.1,1570.0,1568.49,1560.5
1590,2020-07-21,1554.28,1586.99,1558.42,1586.99
1589,2020-07-20,1503.6,1570.29,1565.72,1515.26
1588,2020-07-17,1498.42,1523.44,1515.55,1521.62
1587,2020-07-16,1486.31,1518.69,1518.0,1500.0
1586,2020-07-15,1498.0,1535.33,1513.64,1523.13
1585,2020-07-14,1483.5,1522.95,1520.58,1490.31
1584,2020-07-13,1505.24,1577.13,1511.34,1550.0
1583,2020-07-10,1496.54,1543.83,1541.74,1506.15
1582,2020-07-09,1488.08,1522.72,1510.99,1506.45
1581,2020-07-08,1485.63,1505.88,1496.0,1494.32
1580,2020-07-07,1483.55,1516.8,1485.18,1490.0
1579,2020-07-06,1472.86,1506.59,1495.7,1480.06
1578,2020-07-02,1446.42,1482.95,1464.7,1446.94
1577,2020-07-01,1409.82,1443.0,1438.04,1411.1
1576,2020-06-30,1383.96,1418.65,1413.61,1390.44
1575,2020-06-29,1347.01,1395.6,1394.97,1358.18
1574,2020-06-26,1351.99,1433.45,1359.9,1431.39
1573,2020-06-25,1420.0,1442.9,1441.33,1429.9
1572,2020-06-24,1429.75,1475.42,1431.97,1461.51
1571,2020-06-23,1445.24,1475.94,1464.41,1455.64
1570,2020-06-22,1423.21,1452.75,1451.86,1429.0
1569,2020-06-19,1421.35,1447.8,1431.72,1444.0
1568,2020-06-18,1427.01,1451.41,1435.96,1449.16
1567,2020-06-17,1431.38,1460.0,1451.12,1447.16
1566,2020-06-16,1425.9,1455.02,1442.72,1445.22
1565,2020-06-15,1387.92,1424.8,1419.85,1390.8
